"split","fold","threshold","specificity","sensitivity","fpr","tpr"
"training","overall",0.0632413695747795,0.10431654676259,0.996031746031746,0.89568345323741,0.996031746031746
"training","overall",0.0634011746451573,0.107913669064748,0.996031746031746,0.892086330935252,0.996031746031746
"training","overall",0.0646882982714716,0.111510791366906,0.996031746031746,0.888489208633094,0.996031746031746
"training","overall",0.0665742254055595,0.115107913669065,0.996031746031746,0.884892086330935,0.996031746031746
"training","overall",0.0686023001540135,0.118705035971223,0.996031746031746,0.881294964028777,0.996031746031746
"training","overall",0.0700091933483561,0.122302158273381,0.996031746031746,0.877697841726619,0.996031746031746
"training","overall",0.0701232543780426,0.12589928057554,0.996031746031746,0.87410071942446,0.996031746031746
"training","overall",0.0707192965362155,0.129496402877698,0.996031746031746,0.870503597122302,0.996031746031746
"training","overall",0.0714382558980407,0.133093525179856,0.996031746031746,0.866906474820144,0.996031746031746
"training","overall",0.0719702544285083,0.136690647482014,0.996031746031746,0.863309352517986,0.996031746031746
"training","overall",0.0733490090543131,0.140287769784173,0.996031746031746,0.859712230215827,0.996031746031746
"training","overall",0.0757381279586929,0.143884892086331,0.996031746031746,0.856115107913669,0.996031746031746
"training","overall",0.0774400270367998,0.147482014388489,0.996031746031746,0.852517985611511,0.996031746031746
"training","overall",0.0788917659726754,0.151079136690647,0.996031746031746,0.848920863309353,0.996031746031746
"training","overall",0.0800077605405728,0.154676258992806,0.996031746031746,0.845323741007194,0.996031746031746
"training","overall",0.0802605728398929,0.154676258992806,0.992063492063492,0.845323741007194,0.992063492063492
"training","overall",0.0811767029662087,0.154676258992806,0.988095238095238,0.845323741007194,0.988095238095238
"training","overall",0.0820481823326124,0.158273381294964,0.988095238095238,0.841726618705036,0.988095238095238
"training","overall",0.0823940262896582,0.161870503597122,0.988095238095238,0.838129496402878,0.988095238095238
"training","overall",0.0838871154277619,0.165467625899281,0.988095238095238,0.834532374100719,0.988095238095238
"training","overall",0.0856984160688297,0.169064748201439,0.988095238095238,0.830935251798561,0.988095238095238
"training","overall",0.0871793935842473,0.172661870503597,0.988095238095238,0.827338129496403,0.988095238095238
"training","overall",0.0882731767990756,0.176258992805755,0.988095238095238,0.823741007194245,0.988095238095238
"training","overall",0.0886758061711915,0.179856115107914,0.988095238095238,0.820143884892086,0.988095238095238
"training","overall",0.0892439531977739,0.183453237410072,0.988095238095238,0.816546762589928,0.988095238095238
"training","overall",0.0899243631644443,0.18705035971223,0.988095238095238,0.81294964028777,0.988095238095238
"training","overall",0.0904211594424804,0.190647482014388,0.988095238095238,0.809352517985611,0.988095238095238
"training","overall",0.0906092106503465,0.194244604316547,0.988095238095238,0.805755395683453,0.988095238095238
"training","overall",0.0908780778923246,0.194244604316547,0.984126984126984,0.805755395683453,0.984126984126984
"training","overall",0.0915104935483229,0.197841726618705,0.984126984126984,0.802158273381295,0.984126984126984
"training","overall",0.0924688405997066,0.201438848920863,0.984126984126984,0.798561151079137,0.984126984126984
